junction,incident_count,road_closures,avg_delay,avg_impact,avg_lat,avg_lon,common_cause,corridor,barricade_priority
K R Circle,31,9,6.67741935483871,7.4470967741935485,12.976696022580645,77.58604781483871,vehicle_breakdown,Non-corridor,48.52
"VeerannapalyaJunction(BEL,HO)",30,7,22.4,37.410333333333334,13.041578026666667,77.61365983,construction,ORR North 1,44.1
SantheCircle,25,5,19.2,33.0916,13.097470472,77.598195376,vehicle_breakdown,Bellary Road 2,33.55
KrishnaFlourMill,19,6,7.421052631578948,8.482105263157894,12.984845371578947,77.57305116631579,vehicle_breakdown,Non-corridor,32.51
SilkBoardJunc,33,4,13.454545454545455,27.247272727272726,12.917013388484849,77.62287403454545,vehicle_breakdown,ORR East 1,30.91
HebbalFlyoverJunc,28,4,19.25,33.57964285714286,13.042259165,77.59092162321429,vehicle_breakdown,Bellary Road 1,30.61
MekhriCircle,64,1,16.296875,28.155468749999997,13.0146016609375,77.58398061015625,vehicle_breakdown,Bellary Road 1,30.47
PoliceCornerJunc,26,4,18.346153846153847,29.56346153846154,12.968714985,77.58703580538462,vehicle_breakdown,Mysore Road,29.69
RajeshwariJunc,22,4,17.318181818181817,28.58590909090909,12.936724756818181,77.51907055181817,vehicle_breakdown,Mysore Road,28.03
Devasandra(k r puram),30,4,6.0,5.618666666666667,13.00946257,77.69615677333333,vehicle_breakdown,Non-corridor,28.0
SadashivnagarJunc,13,5,6.923076923076923,7.746153846153846,13.015022161538461,77.57265107692308,vehicle_breakdown,Non-corridor,26.28
Richmond circle jn,11,4,20.454545454545453,34.549090909090914,12.965108050909093,77.59626807090909,vehicle_breakdown,Mysore Road,24.96
toll gate mysore road,33,2,17.181818181818183,29.39818181818182,12.957494487575758,77.55188395151515,vehicle_breakdown,Mysore Road,23.85
AyyappaTempleJunc,49,1,8.989795918367347,21.61469387755102,12.923716187142857,77.61866231877552,pot_holes,Hosur Road,23.4
SatteliteBusStandJunc,43,1,17.372093023255815,29.05744186046512,12.954126423255815,77.543464,vehicle_breakdown,Mysore Road,23.39
LeprosyhospitalJunc,21,3,16.0,31.540000000000003,12.97553827904762,77.5642398852381,vehicle_breakdown,Magadi Road,23.35
HudsonCircle,16,3,22.5,36.03,12.967816574375,77.590308950625,vehicle_breakdown,Mysore Road,23.22
TownhallJunction,30,2,17.7,29.456666666666663,12.963981796666667,77.58437726000001,vehicle_breakdown,Mysore Road,22.92
Nagavara-ORR Junction,32,2,12.75,17.7978125,13.039600234375,77.624189735625,vehicle_breakdown,Hennur Main Road,22.39
KIMCO Junction,31,2,14.064516129032258,19.68354838709677,12.951140019032259,77.53800328,vehicle_breakdown,West of Chord Road,22.37
