zone,hour,event_count,avg_impact_score,road_closures,avg_delay,avg_lat,avg_lon,congestion_risk,risk_label
Central Zone 1,0,11,18.34090909090909,2,11.090909090909092,12.973387875454545,77.6337994509091,21.59,Low
Central Zone 1,1,10,20.192,2,12.3,12.970645966000001,77.615214548,21.79,Low
Central Zone 1,2,15,22.346666666666668,5,12.766666666666667,12.973302468666667,77.627195666,36.42,Medium
Central Zone 1,3,15,24.628666666666668,0,15.5,12.973919012000001,77.62163541333332,19.54,Low
Central Zone 1,4,21,25.299999999999997,3,15.047619047619047,12.975585602857144,77.63186004190477,34.13,Medium
Central Zone 1,5,23,22.608695652173914,2,14.478260869565217,12.972286828260868,77.62845620608695,30.59,Medium
Central Zone 1,6,24,22.530833333333334,5,13.770833333333334,12.971783934166666,77.62866506166667,41.87,Medium
Central Zone 1,7,13,27.04,1,16.692307692307693,12.975692013076923,77.62842991384615,22.95,Low
Central Zone 1,8,5,20.406,0,10.5,12.976430780000001,77.63277958,11.76,Low
Central Zone 1,9,4,22.65,0,17.625,12.975300175,77.64241165,12.12,Low
Central Zone 1,11,1,25.32,0,13.0,12.9888472,77.6520017,11.48,Low
Central Zone 1,12,2,19.13,1,11.5,12.98222245,77.6444355,12.99,Low
Central Zone 1,14,1,81.43,1,54.0,12.97200197,77.59397105,39.17,Medium
Central Zone 1,18,2,32.815,0,20.5,12.9643473,77.6561853,15.3,Low
Central Zone 1,19,30,20.961000000000002,2,11.216666666666667,12.972925726666666,77.62852389566666,34.06,Medium
Central Zone 1,20,23,21.263478260869565,4,12.434782608695652,12.97127037826087,77.63468009565217,37.16,Medium
Central Zone 1,21,25,19.5836,3,10.7,12.9667444296,77.632533976,34.06,Medium
Central Zone 1,22,23,19.161739130434782,2,11.652173913043478,12.974801017391304,77.63031727391304,29.11,Medium
Central Zone 1,23,21,21.97047619047619,5,14.404761904761905,12.967051399047618,77.62561796619048,39.84,Medium
Central Zone 2,0,35,15.908,3,11.714285714285714,12.970750423714286,77.57980049685715,38.45,Medium
Central Zone 2,1,37,18.872162162162162,1,13.621621621621621,12.971156654054054,77.58193120054054,33.77,Medium
Central Zone 2,2,34,19.64029411764706,3,13.441176470588236,12.973168813235294,77.57970774911765,39.45,Medium
Central Zone 2,3,35,13.79742857142857,1,10.628571428571428,12.975775734285714,77.58219569142857,30.4,Medium
Central Zone 2,4,48,15.242708333333333,2,10.947916666666666,12.968447142291666,77.5850479125,42.35,Medium
Central Zone 2,5,43,17.694418604651162,6,11.593023255813954,12.972309373023256,77.58500737860464,54.71,High
Central Zone 2,6,50,16.2826,4,10.68,12.9750209208,77.5813950198,51.13,High
Central Zone 2,7,23,13.722173913043479,3,9.456521739130435,12.969306778260869,77.58522457391305,30.34,Medium
Central Zone 2,8,19,16.783157894736842,1,12.210526315789474,12.974574031578948,77.58227472105263,22.13,Low
Central Zone 2,9,9,20.962222222222223,1,13.11111111111111,12.977407822222222,77.58532462222223,17.95,Low
Central Zone 2,10,1,28.49,0,17.0,12.9974033,77.584765,12.84,Low
Central Zone 2,11,2,57.14,2,36.0,12.963432749999999,77.57876745,32.9,Medium
Central Zone 2,12,8,15.625,7,11.25,12.979169460000001,77.57512760125,36.49,Medium
Central Zone 2,13,1,8.1,1,3.0,12.9770626,77.5839859,7.65,Low
Central Zone 2,15,1,12.62,0,15.0,12.97571222,77.58699417,6.02,Low
Central Zone 2,17,3,33.95333333333333,2,23.833333333333332,12.981668103333334,77.58277194333333,23.53,Low
Central Zone 2,18,18,27.172222222222224,4,17.694444444444443,12.971934138333333,77.57816037055555,36.71,Medium
Central Zone 2,19,49,16.471020408163266,1,11.785714285714286,12.97158165122449,77.58273423448979,39.9,Medium
Central Zone 2,20,39,20.362051282051283,3,13.115384615384615,12.973130302564103,77.57947437974359,42.75,Medium
Central Zone 2,21,65,18.879846153846156,3,12.338461538461539,12.973311841538461,77.57774553538462,57.64,High
Central Zone 2,22,67,14.177611940298506,2,10.425373134328359,12.975408827761195,77.58270289567164,53.24,High
Central Zone 2,23,36,19.845,4,13.291666666666666,12.971376676111111,77.58421314388889,44.31,Medium
East Zone 1,0,10,16.514,1,13.4,12.947579289999998,77.72149458,16.64,Low
East Zone 1,1,13,13.271538461538462,1,10.076923076923077,12.95847242,77.71423025846154,17.04,Low
East Zone 1,2,11,10.462727272727273,0,9.090909090909092,12.947359535454545,77.72432451909091,11.06,Low
East Zone 1,3,13,12.996923076923078,1,9.384615384615385,12.96156643076923,77.72239685384615,16.92,Low
East Zone 1,4,14,13.252142857142857,1,10.071428571428571,12.957849209285714,77.71273467714286,17.63,Low
East Zone 1,5,19,12.188947368421053,0,10.210526315789474,12.955032504210527,77.71793694105263,16.58,Low
East Zone 1,6,7,13.697142857142856,0,10.571428571428571,12.951131385714286,77.70547575714285,10.07,Low
